ID_Cliente,Evasion,Genero,Es_Senior,¿Cliente con pareja?,¿Cliente con dependientes?,Tiempo_con_la_empresa,¿Servicio_Telefono?,¿Varias_Lineas_Telefono?,Servicio_Internet,¿Seguridad_Online?,¿Copia_de_Seguridad_Online?,¿Proteccion_Dispositivos?,¿Soporte_Tecnico_Internet?,¿TV_Streaming?,¿Peliculas_Streaming?,Tipo_Contrato,¿Factura_Electronica?,Metodo_Pago,Facturacion_Mensual,Facturacion_Total,Cuentas_Diarias
0002,0.0,0,0,1,1,9,1,0,0,0,1,0,1,1,0,1,1,1,65.6,593.3,2.1866666666666665
0003,0.0,1,0,0,0,9,1,1,0,0,0,0,0,0,1,0,0,1,59.9,542.4,1.9966666666666666
0004,1.0,1,0,0,0,4,1,0,1,0,0,1,0,0,0,0,1,0,73.9,280.85,2.4633333333333334
0011,1.0,1,1,1,0,13,1,0,1,0,1,1,0,1,1,0,1,0,98.0,1237.85,3.2666666666666666
0013,1.0,0,1,1,0,3,1,0,1,0,0,0,1,1,0,0,1,1,83.9,267.4,2.796666666666667
0013,0.0,0,0,0,1,9,1,0,0,0,0,0,1,1,1,0,1,3,69.4,571.45,2.3133333333333335
0013,0.0,0,1,1,0,71,1,0,1,1,1,1,1,1,1,2,1,2,109.7,7904.25,3.6566666666666667
0014,0.0,1,0,1,0,63,1,1,1,1,0,0,1,0,0,2,1,3,84.65,5377.8,2.8216666666666668
0015,0.0,0,1,0,0,7,1,0,0,1,0,0,0,0,0,0,1,0,48.2,340.35,1.6066666666666667
0016,0.0,0,0,1,1,65,1,1,0,1,1,1,1,1,1,2,1,1,90.45,5957.9,3.015
0017,0.0,1,0,0,0,54,0,0,0,1,0,0,1,1,0,2,0,3,45.2,2460.55,1.5066666666666668
0017,0.0,0,0,1,1,72,1,1,1,1,1,1,1,1,1,2,1,3,116.8,8456.75,3.893333333333333
0018,0.0,0,0,1,0,5,1,0,1,0,0,0,0,0,0,0,1,0,68.95,351.5,2.2983333333333333
0019,0.0,0,0,0,0,72,1,1,1,1,1,1,0,1,0,2,1,2,101.3,7261.25,3.3766666666666665
0019,0.0,0,0,0,0,56,0,0,0,1,1,1,1,0,0,2,0,2,45.05,2560.1,1.5016666666666665
0020,0.0,0,0,1,1,71,1,1,1,0,1,1,0,0,1,2,1,3,95.75,6849.4,3.191666666666667
0020,0.0,0,0,1,1,34,0,0,0,1,0,1,1,1,1,1,0,1,61.25,1993.2,2.0416666666666665
0021,0.0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,72.1,72.1,2.4033333333333333
0022,1.0,1,1,0,0,45,1,0,0,1,0,1,0,0,1,1,0,3,62.7,2791.5,2.0900000000000003
0023,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1,25.1,0.8366666666666667
